Dataset,Method,MCC,Recall,Kendall_Diff,Wasserstein,KL_Div,Norm_MCC,Norm_Recall,Norm_Kendall_Diff,Norm_Wasserstein,Norm_KL_Div,Final_Score
Clean_blood.csv,iqr_gan_paper_filtered,0.21734990425531506,0.4814814814814815,0.7947311933937491,0.0435451620628564,0.44804241800062217,0.7995948070110898,0.9390243902439026,0.0,1.0,0.9934718549415114,0.8130875473229773
Clean_blood.csv,iqr_smote,0.1498864224754616,0.2361111111111111,0.30580015170883557,0.10658716130159884,0.4936432999221468,0.5799828503179036,0.29268292682926833,0.8157519203447177,0.9136243548017146,0.9896905311739707,0.7158929844024715
Clean_blood.csv,iqr_smote_filtered,0.24385262829340268,0.40509259259259256,0.5271153904458628,0.1254773845319072,0.5937406790561714,0.885868372059167,0.7378048780487805,0.4465008080015058,0.8877423199811121,0.9813902399769847,0.8372396374207275
Clean_blood.csv,iqr_smotified_gan,0.16110623978790217,0.32407407407407407,0.5175894089133013,0.07720552624110547,1.3845838043196124,0.6165064030418157,0.524390243902439,0.46239433298935717,0.9538809728654869,0.9158118173688179,0.7230264925024338
Clean_blood.csv,iqr_smotified_gan_filtered,0.17902485458610262,0.2847222222222222,0.4524019840619988,0.11049937900112948,5.4104614299086045,0.6748363610167898,0.4207317073170732,0.571155615197015,0.9082641135017299,0.5819773363373333,0.6998002443423771
Clean_blood.csv,iqr_wgangp,0.16478782150676008,0.3055555555555555,0.2940917848399715,0.5613750184684246,2.037696892706598,0.62849095147711,0.47560975609756095,0.8352866234890752,0.29050651168944897,0.8616542673402967,0.555803398790372
Clean_blood.csv,iqr_wgangp_filtered,0.22271857337480444,0.2824074074074074,0.44770284014221745,0.7734036666682008,12.428818340557925,0.8170712831588335,0.41463414634146345,0.5789958530827661,0.0,-2.220446049250313e-16,0.42619151320595633
Clean_Breast_Cancer_Wisconsin.csv,iqr_ctgan,0.8798937063273047,0.900390625,0.24934298966562213,0.28414636903260465,3.411376723499732,0.16653476061750538,0.46666666666666856,0.20002968140979738,0.5539669057888075,0.3427201000441016,0.33374562079570114
Clean_Breast_Cancer_Wisconsin.csv,iqr_ctgan_filtered,0.8737633453735244,0.88671875,0.26409539109650837,0.21040559110777196,5.11200479368948,0.03950607948326734,0.0,0.09505921735622869,0.6815101984243125,0.0,0.22976141305622352
Clean_Breast_Cancer_Wisconsin.csv,iqr_gan_from_tutorial,0.8782514727656952,0.892578125,0.2774548798516434,0.0649322794765528,3.8027013018313363,0.13250564471087856,0.1999999999999993,0.0,0.9331232906397171,0.2638581778011273,0.37932506285637924
Clean_Breast_Cancer_Wisconsin.csv,iqr_gan_from_tutorial_filtered,0.889478643795843,0.912109375,0.24110179467640303,0.04685003624879694,0.17049705539344615,0.3651465511078733,0.8666666666666671,0.2586697656311433,0.9643986433604996,0.9958403345938891,0.6474958901404692
Clean_Breast_Cancer_Wisconsin.csv,iqr_gan_paper,0.8896526371199693,0.900390625,0.2648617259927051,0.05274061132471769,3.729975022999784,0.3687519085503759,0.46666666666666856,0.0896063743020944,0.9542102054046998,0.2785143851129376,0.5172425676497304
