Dataset Name,Method,IQR Used,Filtered,MCC,F1-score (Malignant),AUC (Binary),Recall (Malignant),AUC (Probability),Balanced_Accuracy,F1-score (Benign),Frobenius_Kendall_Diff,Generation_Time,PR_AUC,Precision (Benign),Precision (Malignant),Recall (Benign),Training_Time
heart_balanced,smotified_gan,True,False,0.6781 (± 0.1095),0.9762 (± 0.0069),0.7524 (± 0.0602),0.9981 (± 0.0060),0.9467 (± 0.0347),0.7524 (± 0.0602),0.6576 (± 0.1199),0.3369 (± 0.1234),1.6308 (± 0.2698),0.9940 (± 0.0041),0.9667 (± 0.1054),0.9553 (± 0.0103),0.5067 (± 0.1184),0.5666 (± 0.0357)
heart_balanced,wgangp,False,True,0.6742 (± 0.1433),0.9758 (± 0.0091),0.7581 (± 0.0588),0.9962 (± 0.0085),0.9447 (± 0.0439),0.7581 (± 0.0588),0.6652 (± 0.1317),0.3660 (± 0.1947),0.7670 (± 0.0555),0.9939 (± 0.0050),0.9250 (± 0.1677),0.9563 (± 0.0099),0.5200 (± 0.1095),0.5872 (± 0.0857)
heart_balanced,smote,True,False,0.6742 (± 0.1433),0.9758 (± 0.0091),0.7581 (± 0.0588),0.9962 (± 0.0085),0.9658 (± 0.0209),0.7581 (± 0.0588),0.6652 (± 0.1317),0.3433 (± 0.1446),0.0012 (± 0.0000),0.9965 (± 0.0022),0.9250 (± 0.1677),0.9563 (± 0.0099),0.5200 (± 0.1095),0.5804 (± 0.0878)
heart_balanced,gan-tutorial,True,False,0.6689 (± 0.0896),0.9752 (± 0.0062),0.7514 (± 0.0395),0.9962 (± 0.0085),0.9552 (± 0.0354),0.7514 (± 0.0395),0.6545 (± 0.0842),0.3602 (± 0.1624),2.1916 (± 0.1245),0.9950 (± 0.0041),0.9400 (± 0.1342),0.9551 (± 0.0067),0.5067 (± 0.0760),0.6151 (± 0.1250)
heart_balanced,ctgan,False,True,0.6604 (± 0.1692),0.9753 (± 0.0109),0.7514 (± 0.0894),0.9962 (± 0.0085),0.9533 (± 0.0212),0.7514 (± 0.0894),0.6453 (± 0.1727),0.3982 (± 0.1923),2.0917 (± 0.0747),0.9948 (± 0.0024),0.9250 (± 0.1677),0.9552 (± 0.0154),0.5067 (± 0.1738),0.6338 (± 0.1013)
heart_balanced,ctgan,False,False,0.6552 (± 0.1304),0.9746 (± 0.0086),0.7448 (± 0.0668),0.9962 (± 0.0085),0.9570 (± 0.0289),0.7448 (± 0.0668),0.6383 (± 0.1332),0.4070 (± 0.1778),2.0917 (± 0.0747),0.9954 (± 0.0032),0.9333 (± 0.1491),0.9540 (± 0.0114),0.4933 (± 0.1300),0.6938 (± 0.1005)
heart_balanced,gan-tutorial,False,False,0.6479 (± 0.1070),0.9740 (± 0.0072),0.7381 (± 0.0458),0.9962 (± 0.0085),0.9532 (± 0.0266),0.7381 (± 0.0458),0.6307 (± 0.0988),0.3736 (± 0.1838),2.2484 (± 0.1426),0.9948 (± 0.0030),0.9333 (± 0.1491),0.9528 (± 0.0077),0.4800 (± 0.0869),0.6046 (± 0.1251)
heart_balanced,wgangp,True,True,0.6458 (± 0.1315),0.9740 (± 0.0084),0.7381 (± 0.0530),0.9962 (± 0.0085),0.9558 (± 0.0292),0.7381 (± 0.0530),0.6306 (± 0.1193),0.3875 (± 0.1879),0.7624 (± 0.0526),0.9951 (± 0.0032),0.9250 (± 0.1677),0.9528 (± 0.0089),0.4800 (± 0.0989),0.5760 (± 0.0830)
heart_balanced,wgangp,False,False,0.6420 (± 0.1645),0.9740 (± 0.0099),0.7381 (± 0.0681),0.9962 (± 0.0085),0.9457 (± 0.0349),0.7381 (± 0.0681),0.6283 (± 0.1533),0.3712 (± 0.1850),0.7670 (± 0.0555),0.9939 (± 0.0038),0.9143 (± 0.1917),0.9528 (± 0.0114),0.4800 (± 0.1282),0.6555 (± 0.0812)
mdlon,gan-paper_2,True,True,0.0349 (± 0.0780),0.9527 (± 0.0007),0.5033 (± 0.0075),1.0000 (± 0.0000),0.6207 (± 0.0826),0.5033 (± 0.0075),0.0129 (± 0.0289),1.5754 (± 0.2123),1.3244 (± 0.3740),0.9352 (± 0.0183),0.2000 (± 0.4472),0.9096 (± 0.0012),0.0067 (± 0.0149),5.2891 (± 1.1989)
mdlon,gan-tutorial,False,False,0.0250 (± 0.0844),0.9513 (± 0.0022),0.5020 (± 0.0084),0.9973 (± 0.0037),0.5691 (± 0.0730),0.5020 (± 0.0084),0.0129 (± 0.0289),1.8255 (± 0.3081),2.1200 (± 0.1029),0.9292 (± 0.0175),0.2000 (± 0.4472),0.9094 (± 0.0014),0.0067 (± 0.0149),12.7763 (± 1.1374)
mdlon,gan-tutorial,True,False,0.0250 (± 0.0844),0.9513 (± 0.0022),0.5020 (± 0.0084),0.9973 (± 0.0037),0.5930 (± 0.0639),0.5020 (± 0.0084),0.0129 (± 0.0289),1.8256 (± 0.3080),2.0805 (± 0.0798),0.9293 (± 0.0148),0.2000 (± 0.4472),0.9094 (± 0.0014),0.0067 (± 0.0149),12.8050 (± 1.8187)
mdlon,gan-tutorial,True,True,0.0250 (± 0.0844),0.9513 (± 0.0022),0.5020 (± 0.0084),0.9973 (± 0.0037),0.6023 (± 0.0993),0.5020 (± 0.0084),0.0129 (± 0.0289),1.8256 (± 0.3080),2.0805 (± 0.0798),0.9311 (± 0.0233),0.2000 (± 0.4472),0.9094 (± 0.0014),0.0067 (± 0.0149),13.1108 (± 1.9593)
mdlon,smotified_gan,True,False,0.0174 (± 0.0551),0.9525 (± 0.0005),0.5017 (± 0.0053),1.0000 (± 0.0000),0.6058 (± 0.0648),0.5017 (± 0.0053),0.0065 (± 0.0204),1.5478 (± 0.1327),3.7183 (± 0.3368),0.9334 (± 0.0147),0.1000 (± 0.3162),0.9094 (± 0.0009),0.0033 (± 0.0105),10.1850 (± 0.6811)
mdlon,smotified_gan,True,True,0.0174 (± 0.0551),0.9525 (± 0.0005),0.5017 (± 0.0053),1.0000 (± 0.0000),0.6126 (± 0.0799),0.5017 (± 0.0053),0.0065 (± 0.0204),1.5564 (± 0.1450),3.7183 (± 0.3368),0.9358 (± 0.0175),0.1000 (± 0.3162),0.9094 (± 0.0009),0.0033 (± 0.0105),10.5669 (± 1.1342)
mdlon,ctgan,False,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6399 (± 0.0729),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),16.6048 (± 1.7621),0.9409 (± 0.0154),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),5.9261 (± 1.1447)
mdlon,gan-tutorial,False,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.5981 (± 0.0961),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),2.1200 (± 0.1029),0.9383 (± 0.0206),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),9.7211 (± 1.0933)
mdlon,gan-paper,False,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6199 (± 0.0761),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),1.2519 (± 0.0229),0.9408 (± 0.0214),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.1694 (± 0.4844)
mdlon,gan-paper_2,False,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6136 (± 0.0733),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),1.1986 (± 0.0372),0.9385 (± 0.0137),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),9.2873 (± 0.6136)
mdlon,gan-paper_2,False,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6241 (± 0.0784),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),1.1986 (± 0.0372),0.9407 (± 0.0184),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),6.0809 (± 1.3725)
mdlon,gan-paper,False,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6312 (± 0.0652),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),1.2519 (± 0.0229),0.9431 (± 0.0112),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),9.1680 (± 0.4197)
mdlon,smotified_gan,False,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6067 (± 0.0719),0.5000 (± 0.0000),0.0000 (± 0.0000),1.5083 (± 0.0472),3.4524 (± 0.4019),0.9329 (± 0.0158),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.6318 (± 2.0566)
mdlon,smotified_gan,False,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6153 (± 0.0671),0.5000 (± 0.0000),0.0000 (± 0.0000),1.5083 (± 0.0472),3.4524 (± 0.4019),0.9367 (± 0.0142),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.6879 (± 1.8350)
mdlon,wgangp,False,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6191 (± 0.0755),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),0.8120 (± 0.0955),0.9355 (± 0.0207),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.4250 (± 1.3998)
mdlon,wgangp,False,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6040 (± 0.0871),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4837 (± 0.0483),0.8120 (± 0.0955),0.9330 (± 0.0195),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.7034 (± 1.0977)
mdlon,ctgan,True,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6190 (± 0.0615),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4838 (± 0.0483),16.9382 (± 2.3499),0.9360 (± 0.0119),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),5.3202 (± 1.2940)
mdlon,gan-paper,True,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6238 (± 0.0981),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4838 (± 0.0483),1.2067 (± 0.0163),0.9353 (± 0.0269),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.3725 (± 0.3332)
mdlon,gan-paper_2,True,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6157 (± 0.1030),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4838 (± 0.0483),1.3244 (± 0.3740),0.9372 (± 0.0250),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.0870 (± 1.2585)
mdlon,gan-paper,True,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6023 (± 0.0943),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4838 (± 0.0483),1.2067 (± 0.0163),0.9366 (± 0.0229),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),9.2775 (± 0.3010)
mdlon,wgangp,True,False,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6191 (± 0.1189),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4838 (± 0.0483),0.7343 (± 0.0540),0.9386 (± 0.0212),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.6788 (± 1.6520)
mdlon,wgangp,True,True,0.0000 (± 0.0000),0.9524 (± 0.0000),0.5000 (± 0.0000),1.0000 (± 0.0000),0.6490 (± 0.1056),0.5000 (± 0.0000),0.0000 (± 0.0000),1.4838 (± 0.0483),0.7343 (± 0.0540),0.9450 (± 0.0199),0.0000 (± 0.0000),0.9091 (± 0.0000),0.0000 (± 0.0000),10.8195 (± 1.0697)
mdlon,ctgan,True,False,-0.0035 (± 0.0078),0.9520 (± 0.0007),0.4997 (± 0.0007),0.9993 (± 0.0015),0.5899 (± 0.0642),0.4997 (± 0.0007),0.0000 (± 0.0000),1.5815 (± 0.2512),16.9382 (± 2.3499),0.9356 (± 0.0149),0.0000 (± 0.0000),0.9090 (± 0.0001),0.0000 (± 0.0000),12.9528 (± 3.4049)
