Oryginalna Nazwa Pliku,Nazwa Metody Balansowania,Nazwa Datasetu,Wasserstein Mean,KL Divergence Mean,Pairwise Real-Real,Pairwise Synth-Synth,Pairwise Real-Synth
gan_from_tutorial_filtered_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial_filtered,Breast_Cancer_Wisconsin_dataset,0.3175 (± 0.1041),0.5025 (± 0.1227),6.5153 (± 1.9147),4.6302 (± 1.2173),5.8617 (± 1.6674)
gan_from_tutorial_filtered_creditcard_dataset_metrics,gan_from_tutorial_filtered_creditcard_dataset_metrics,Nieznany,2.6451 (± 0.6629),5.1556 (± 1.2817),22.3604 (± 5.4203),0.0818 (± 0.2220),20.5387 (± 4.9467)
gan_from_tutorial_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.2892 (± 0.1252),0.4149 (± 0.1276),5.9884 (± 2.1367),4.4248 (± 1.4018),5.4454 (± 1.8856)
gan_from_tutorial_filtered_iqr_creditcard_dataset_metrics,gan_from_tutorial_filtered_iqr_creditcard_dataset_metrics,Nieznany,1.4938 (± 0.3584),5.8342 (± 1.3311),9.3046 (± 1.9229),0.1285 (± 0.4773),9.3758 (± 1.9137)
gan_from_tutorial_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial_iqr,Breast_Cancer_Wisconsin_dataset,0.3536 (± 0.1399),6.1863 (± 0.9819),5.9897 (± 2.1375),3.9388 (± 1.1693),5.2205 (± 1.7705)
gan_from_tutorial_iqr_creditcard_dataset_metrics,gan_from_tutorial_iqr_creditcard_dataset_metrics,Nieznany,1.4936 (± 0.3584),5.9636 (± 1.3763),9.3046 (± 1.9229),0.1415 (± 0.4712),9.3735 (± 1.9201)
gan_paper_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper,Breast_Cancer_Wisconsin_dataset,0.3477 (± 0.0227),4.2858 (± 0.0525),6.9270 (± 0.0000),4.7385 (± 0.0771),5.9702 (± 0.0389)
gan_paper_creditcard_dataset_metrics,gan_paper_creditcard_dataset_metrics,Nieznany,2.7754 (± 0.0809),5.2935 (± 0.1435),23.5093 (± 0.7977),0.9649 (± 0.1312),21.6336 (± 0.5868)
gan_paper_filtered_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper_filtered,Breast_Cancer_Wisconsin_dataset,0.2453 (± 0.0061),0.3554 (± 0.0139),7.1208 (± 0.0000),5.2789 (± 0.0330),6.2944 (± 0.0134)
gan_paper_filtered_creditcard_dataset_metrics,gan_paper_filtered_creditcard_dataset_metrics,Nieznany,2.7760 (± 0.0810),5.2285 (± 0.0638),23.5093 (± 0.7977),0.9973 (± 0.1376),21.6346 (± 0.5912)
gan_paper_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.2598 (± 0.0104),0.3003 (± 0.0131),6.8607 (± 0.0000),5.2985 (± 0.0148),6.2277 (± 0.0210)
gan_paper_filtered_iqr_creditcard_dataset_metrics,gan_paper_filtered_iqr_creditcard_dataset_metrics,Nieznany,1.5754 (± 0.0196),6.0396 (± 0.0804),9.7793 (± 0.0785),0.7064 (± 0.2321),9.8679 (± 0.1012)
gan_paper_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper_iqr,Breast_Cancer_Wisconsin_dataset,0.3568 (± 0.0115),5.3974 (± 0.1413),6.9893 (± 0.0000),4.9143 (± 0.0165),6.1417 (± 0.0333)
gan_paper_iqr_creditcard_dataset_metrics,gan_paper_iqr_creditcard_dataset_metrics,Nieznany,1.5752 (± 0.0196),6.1811 (± 0.1438),9.7793 (± 0.0785),0.6980 (± 0.2405),9.8692 (± 0.1019)
smote_Breast_Cancer_Wisconsin_dataset_metrics,smote,Breast_Cancer_Wisconsin_dataset,0.1795 (± 0.0216),1.8181 (± 0.8178),6.9857 (± 0.0636),6.5870 (± 0.1781),6.7837 (± 0.0423)
smote_creditcard_dataset_metrics,smote_creditcard_dataset_metrics,Nieznany,0.1584 (± 0.0059),0.0437 (± 0.0011),23.5451 (± 0.7780),21.6855 (± 1.4758),22.5973 (± 0.9134)
smote_filtered_Breast_Cancer_Wisconsin_dataset_metrics,smote_filtered,Breast_Cancer_Wisconsin_dataset,0.1398 (± 0.0000),0.9867 (± 0.0000),7.1939 (± 0.1742),6.4801 (± 0.0000),6.8043 (± 0.0849)
smote_filtered_creditcard_dataset_metrics,smote_filtered_creditcard_dataset_metrics,Nieznany,0.1949 (± 0.0245),0.0495 (± 0.0056),23.5451 (± 0.7780),22.1367 (± 0.8354),22.8099 (± 0.7488)
smote_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,smote_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.1524 (± 0.0000),0.9169 (± 0.0000),6.8720 (± 0.0169),6.4946 (± 0.0000),6.6685 (± 0.0102)
smote_filtered_iqr_creditcard_dataset_metrics,smote_filtered_iqr_creditcard_dataset_metrics,Nieznany,0.0892 (± 0.0036),0.0688 (± 0.0026),9.7793 (± 0.0785),9.0386 (± 0.1690),9.4003 (± 0.0871)
smote_iqr_Breast_Cancer_Wisconsin_dataset_metrics,smote_iqr,Breast_Cancer_Wisconsin_dataset,0.1758 (± 0.0113),2.5773 (± 1.2706),6.9246 (± 0.0539),6.4359 (± 0.1702),6.6955 (± 0.0410)
smote_iqr_creditcard_dataset_metrics,smote_iqr_creditcard_dataset_metrics,Nieznany,0.0854 (± 0.0024),0.0666 (± 0.0020),9.7793 (± 0.0785),9.0644 (± 0.1451),9.4134 (± 0.0836)
smotified_gan_Breast_Cancer_Wisconsin_dataset_metrics,smotified_gan,Breast_Cancer_Wisconsin_dataset,0.0542 (± 0.0074),3.0825 (± 0.5540),1.0715 (± 0.0862),1.1474 (± 0.1070),1.1366 (± 0.0764)
smotified_gan_creditcard_dataset_metrics,smotified_gan_creditcard_dataset_metrics,Nieznany,0.1651 (± 0.0065),2.7971 (± 0.3915),0.8598 (± 0.0391),1.0533 (± 0.1524),1.3491 (± 0.0787)
smotified_gan_filtered_Breast_Cancer_Wisconsin_dataset_metrics,smotified_gan_filtered,Breast_Cancer_Wisconsin_dataset,0.0862 (± 0.0082),1.9558 (± 0.3527),1.0893 (± 0.0400),0.9176 (± 0.0439),1.1391 (± 0.0409)
smotified_gan_filtered_creditcard_dataset_metrics,smotified_gan_filtered_creditcard_dataset_metrics,Nieznany,0.0169 (± 0.0038),1.4325 (± 0.3194),0.8590 (± 0.0520),0.8684 (± 0.0291),0.8617 (± 0.0379)
smotified_gan_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,smotified_gan_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.0984 (± 0.0080),2.7075 (± 0.5524),1.6439 (± 0.0381),1.2094 (± 0.0507),1.5220 (± 0.0315)
smotified_gan_filtered_iqr_creditcard_dataset_metrics,smotified_gan_filtered_iqr_creditcard_dataset_metrics,Nieznany,0.1661 (± 0.0062),3.8848 (± 0.3195),2.0946 (± 0.0164),1.2784 (± 0.0684),1.9156 (± 0.0269)
smotified_gan_iqr_Breast_Cancer_Wisconsin_dataset_metrics,smotified_gan_iqr,Breast_Cancer_Wisconsin_dataset,0.0606 (± 0.0086),4.0326 (± 0.6671),1.6361 (± 0.0588),1.5308 (± 0.0817),1.5930 (± 0.0468)
smotified_gan_iqr_creditcard_dataset_metrics,smotified_gan_iqr_creditcard_dataset_metrics,Nieznany,0.1658 (± 0.0063),3.0468 (± 0.2607),2.0946 (± 0.0164),1.2937 (± 0.0830),1.9195 (± 0.0317)
wgangp_Breast_Cancer_Wisconsin_dataset_metrics,wgangp,Breast_Cancer_Wisconsin_dataset,0.3537 (± 0.0480),3.9810 (± 0.6181),6.9305 (± 0.4443),5.3311 (± 0.7896),6.3552 (± 0.4516)
wgangp_creditcard_dataset_metrics,wgangp_creditcard_dataset_metrics,Nieznany,2.6445 (± 0.0772),4.6986 (± 0.1191),23.4675 (± 0.8182),1.0192 (± 0.1237),20.9556 (± 0.5846)
wgangp_filtered_Breast_Cancer_Wisconsin_dataset_metrics,wgangp_filtered,Breast_Cancer_Wisconsin_dataset,0.5635 (± 0.0315),3.6378 (± 0.6654),7.0585 (± 0.1468),2.9313 (± 0.3123),5.8921 (± 0.1707)
wgangp_filtered_creditcard_dataset_metrics,wgangp_filtered_creditcard_dataset_metrics,Nieznany,2.6478 (± 0.0772),6.1251 (± 0.2415),23.4675 (± 0.8182),0.9834 (± 0.0819),20.9498 (± 0.5823)
wgangp_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,wgangp_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.6023 (± 0.0555),4.5713 (± 0.9010),6.8670 (± 0.0769),3.1854 (± 0.3791),6.0903 (± 0.1342)
wgangp_filtered_iqr_creditcard_dataset_metrics,wgangp_filtered_iqr_creditcard_dataset_metrics,Nieznany,1.3877 (± 0.0316),7.1649 (± 0.4238),9.7757 (± 0.0809),1.0443 (± 0.0600),9.0740 (± 0.1479)
wgangp_iqr_Breast_Cancer_Wisconsin_dataset_metrics,wgangp_iqr,Breast_Cancer_Wisconsin_dataset,0.3652 (± 0.0555),5.0718 (± 0.7054),6.8153 (± 0.2623),5.3734 (± 0.4497),6.3904 (± 0.2364)
wgangp_iqr_creditcard_dataset_metrics,wgangp_iqr_creditcard_dataset_metrics,Nieznany,1.3859 (± 0.0316),5.3582 (± 0.1357),9.7757 (± 0.0809),1.0594 (± 0.0839),9.0703 (± 0.1468)
